stock_code,stock_name
5959.KL,A & M REALTY BHD
0012.KL,THREE-A RESOURCES BHD
7061.KL,7061.KL
7120.KL,ACOUSTECH BHD
7191.KL,ADVENTA BHD
9148.KL,ADVANCED PACKAGING TECHNOLOGY
7146.KL,AE MULTI HOLDINGS BHD
6599.KL,AEON CO. (M) BHD
5139.KL,AEON CREDIT SERVICE (M) BHD
5185.KL,AFFIN HOLDINGS BHD
2488.KL,ALLIANCE FINANCIAL GROUP BHD
0020.KL,NETX HOLDINGS BHD
7315.KL,AHB HOLDINGS BHD
7090.KL,APEX HEALTHCARE BHD
4952.KL,AMANAH HARTA TANAH PNB
9547.KL,9547.KL
7116.KL,7116.KL
0122.KL,ADVANCE INFORMATION MARKETING
5099.KL,AIRASIA BHD
8516.KL,8516.KL
5014.KL,MALAYSIA AIRPORTS HOLDINGS BHD
2682.KL,AMALGAMATED INDUSTRIAL STEEL
2658.KL,AJINOMOTO (M) BHD
7609.KL,AJIYA BHD
7068.KL,7068.KL
5115.KL,ALAM MARITIM RESOURCES BHD
5116.KL,AL-AQAR HEALTHCARE REIT
2674.KL,ALUMINIUM COMPANY OF MALAYSIA
1163.KL,ALLIANZ MALAYSIA BHD
1007.KL,AMCORP PROPERTIES BERHAD
5120.KL,AMFIRST REITS
1015.KL,AMMB HOLDINGS BHD
2313.KL,2313.KL
7051.KL,7051.KL
7031.KL,AMTEL HOLDINGS BHD
6351.KL,AMWAY (M) HOLDINGS BHD
7083.KL,ANALABS RESOURCES BHD
4758.KL,ANCOM BHD
0048.KL,ANCOM LOGISTICS BERHAD
6556.KL,ANN JOO RESOURCES BHD
5568.KL,APB RESOURCES BHD
5088.KL,APEX EQUITY HOLDINGS BHD
1716.KL,1716.KL
5015.KL,APM AUTOMOTIVE HOLDINGS BHD
6432.KL,APOLLO FOOD HOLDINGS BHD
7165.KL,SPRING GALLERY BERHAD
7214.KL,A-RANK BHD
7007.KL,ARK RESOURCES BHD
5127.KL,AMANAHRAYA REITS
5975.KL,5975.KL
1481.KL,ADVANCE SYNERGY BHD
0068.KL,ASDION BHD
0150.KL,ASIA BIOENERGY TECH BHD
0039.KL,0039.KL
7129.KL,ASIA FILE CORPORATION BHD
4057.KL,ASIAN PAC HOLDINGS BHD
0105.KL,ASIA POLY HOLDINGS BHD
7162.KL,ASTINO BHD
7070.KL,VIZIONE HOLDINGS BERHAD
0072.KL,AT SYSTEMATIZATION BHD
5055.KL,5055.KL
7048.KL,ATLAN HOLDINGS BHD
5130.KL,ATRIUM REITS
7181.KL,ATURMAJU RESOURCES BHD
7044.KL,7044.KL
7008.KL,7008.KL
7579.KL,AWC BERHAD
6888.KL,AXIATA GROUP BERHAD
7447.KL,7447.KL
5106.KL,AXIS REITS
7078.KL,AHMAD ZAKI RESOURCES BHD
0098.KL,BORNEO AQUA HARVEST BHD
5039.KL,5039.KL
7156.KL,7156.KL
4162.KL,BRITISH AMERICAN TOBACCO (M)
6602.KL,BCB BHD
0130.KL,0130.KL
6173.KL,BINA DARULAMAN BHD
6866.KL,6866.KL
9814.KL,BERTAM ALLIANCE BHD
7023.KL,7023.KL
8133.KL,BOUSTEAD HEAVY INDUSTRIES CORP
7241.KL,BHS INDUSTRIES BHD
7005.KL,B.I.G. INDUSTRIES BHD
5258.KL,BIMB HOLDINGS BHD
6998.KL,BINTAI KINDEN CORPORATION BHD
7243.KL,BIO OSMO BHD
7193.KL,7193.KL
5032.KL,BINTULU PORT HOLDINGS BHD
3239.KL,BERJAYA ASSETS BERHAD
3395.KL,BERJAYA CORPORATION BHD
4219.KL,BERJAYA LAND BHD
6025.KL,BERJAYA MEDIA BHD
1562.KL,BERJAYA SPORTS TOTO BHD
1899.KL,BATU KAWAN BHD
7187.KL,BOON KOON GROUP BHD
5069.KL,BLD PLANTATION BHD
1538.KL,SYMPHONY LIFE BERHAD
9288.KL,BONIA CORPORATION BHD
7036.KL,BORNEO OIL BHD
6297.KL,BOX-PAK (MALAYSIA) BHD
5100.KL,BP PLASTICS HOLDING BHD
5932.KL,BINA PURI HOLDINGS BHD
1473.KL,1473.KL
8761.KL,BREM HOLDINGS BHD
9938.KL,BRIGHT PACKAGING INDUSTRY BHD
5124.KL,5124.KL
7221.KL,BSL CORPORATION BERHAD
2771.KL,BOUSTEAD HOLDINGS BHD
0011.KL,BRITE-TECH BHD
7188.KL,BTM RESOURCES BHD
1818.KL,BURSA MALAYSIA BHD
7174.KL,CAB CAKARAN CORPORATION BHD
7154.KL,CAELY HOLDINGS BHD
7128.KL,CAM RESOURCES BHD
5105.KL,CAN-ONE BHD
0125.KL,0125.KL
2836.KL,CARLSBERG BREWERY MALAYSIA BHD
0076.KL,0076.KL
7076.KL,CB INDUSTRIAL PRODUCT HOLDING
0041.KL,PANPAGES BERHAD
2925.KL,CYCLE & CARRIAGE BINTANG BHD
7035.KL,CCK CONSOLIDATED HOLDINGS BHD
2879.KL,CHEMICAL COMPANY OF MALAYSIA
7148.KL,CCM DUOPHARMA BIOTECH BHD
7171.KL,CENTURY BOND BHD
7117.KL,CENTURY LOGISTICS HOLDINGS BHD
8982.KL,CEPATWAWASAN GROUP BHD
8435.KL,CONCRETE ENGINEERING PRODUCTS
8044.KL,8044.KL
7027.KL,7027.KL
7209.KL,CHEETAH HOLDINGS BHD
9423.KL,CHEE WAH CORPORATION BHD
5738.KL,COUNTRY HEIGHTS HOLDINGS BHD
1929.KL,CHIN TECK PLANTATIONS BHD
5007.KL,CHIN WELL HOLDINGS BHD
